[A](2022-04-02  09:25:55 am)[083] Oil Lack Alarm
[I](2022-04-02  09:25:55 am)Ready On
[I](2022-04-02  11:31:07 am)Reset
[I](2022-04-02  11:31:07 am)Reset
[I](2022-04-02  11:31:08 am)Reset
[I](2022-04-02  11:31:14 am)Reset
[I](2022-04-02  11:31:16 am)Reset
[I](2022-04-02  11:32:28 am)Reset
[I](2022-04-02  11:32:29 am)Reset
[I](2022-04-02  11:32:32 am)Reset
[I](2022-04-02  11:32:32 am)Reset
[I](2022-04-02  11:33:20 am)Reset
[I](2022-04-02  11:33:20 am)Reset
[I](2022-04-02  11:33:21 am)Reset
[I](2022-04-02  11:36:29 am)Reset
[I](2022-04-02  11:37:26 am)Reset
[I](2022-04-02  11:37:26 am)Reset
[I](2022-04-02  11:38:11 am)Reset
[I](2022-04-02  11:38:44 am)Reset
[I](2022-04-02  11:39:20 am)Reset
[I](2022-04-02  11:39:29 am)Reset
[I](2022-04-02  11:39:45 am)Reset
[I](2022-04-02  11:39:45 am)Reset
[I](2022-04-02  11:40:02 am)Reset
[I](2022-04-02  11:40:02 am)Reset
[I](2022-04-02  11:40:03 am)Reset
[I](2022-04-02  11:40:03 am)Reset
[A](2022-04-02  11:41:12 am)[033] 자동결선 회수 롤러 WIRE CONTACT!!
[I](2022-04-02  11:41:37 am)작업 시작 [Start d:144]
[I](2022-04-02  11:41:37 am)Nc File: [No.0001-0193-2.NC]
[I](2022-04-02  11:41:37 am)  * Start Machine Position
[I](2022-04-02  11:41:37 am)    X:    255.0760
[I](2022-04-02  11:41:37 am)    Y:   -270.8340
[I](2022-04-02  11:41:37 am)    U:      0.0000
[I](2022-04-02  11:41:37 am)    V:      0.0000
[I](2022-04-02  11:41:37 am)    Z:     41.6721
[I](2022-04-02  11:41:37 am)  * Angle
[I](2022-04-02  11:41:37 am)    Ar:      0.1147,Kr:      0.0000
[I](2022-04-02  11:41:37 am)    Taper_Ar:      0.0000
[I](2022-04-02  11:41:44 am)작업중 정지 [d:0][t:00:00:06]
[I](2022-04-02  11:41:44 am)    [LNo:0001] 000010/000818
[I](2022-04-02  11:41:44 am)작업중 M코드정지 [d:0][t:00:00:06]
[I](2022-04-02  11:58:18 am)작업중 정지 [d:16][t:00:16:40]
[I](2022-04-02  11:58:18 am)    [LNo:0001] 000072/000818
[I](2022-04-02  11:58:18 am)작업중 M코드정지 [d:16][t:00:16:40]
[I](2022-04-02  11:58:51 am)작업중 정지 [d:16][t:00:17:13]
[I](2022-04-02  11:58:51 am)    [LNo:0001] 000075/000818
[I](2022-04-02  11:58:51 am)작업중 M코드정지 [d:16][t:00:17:13]
[I](2022-04-02  12:24:21 pm)작업중 정지 [d:40][t:00:42:43]
[I](2022-04-02  12:24:21 pm)    [LNo:0001] 000206/000818
[I](2022-04-02  12:24:21 pm)작업중 M코드정지 [d:40][t:00:42:43]
[I](2022-04-02  12:25:23 pm)작업중 정지 [d:40][t:00:43:45]
[I](2022-04-02  12:25:23 pm)    [LNo:0001] 000209/000818
[I](2022-04-02  12:25:23 pm)작업중 M코드정지 [d:40][t:00:43:46]
[I](2022-04-02  12:51:19 pm)작업중 정지 [d:64][t:01:09:41]
[I](2022-04-02  12:51:19 pm)    [LNo:0001] 000340/000818
[I](2022-04-02  12:51:19 pm)작업중 M코드정지 [d:64][t:01:09:41]
[I](2022-04-02  12:52:31 pm)작업중 정지 [d:64][t:01:10:53]
[I](2022-04-02  12:52:31 pm)    [LNo:0001] 000343/000818
[I](2022-04-02  12:52:31 pm)작업중 M코드정지 [d:64][t:01:10:53]
[I](2022-04-02  01:18:30 pm)작업중 정지 [d:88][t:01:36:52]
[I](2022-04-02  01:18:30 pm)    [LNo:0001] 000474/000818
[I](2022-04-02  01:18:30 pm)작업중 M코드정지 [d:88][t:01:36:52]
[I](2022-04-02  01:55:23 pm)작업중 정지 [d:88][t:02:13:46]
[I](2022-04-02  01:55:23 pm)    [LNo:0001] 000477/000818
[I](2022-04-02  01:55:23 pm)작업중 M코드정지 [d:88][t:02:13:46]
[I](2022-04-02  02:20:58 pm)작업중 정지 [d:112][t:02:39:21]
[I](2022-04-02  02:20:58 pm)    [LNo:0001] 000608/000818
[I](2022-04-02  02:20:58 pm)작업중 M코드정지 [d:112][t:02:39:21]
[I](2022-04-02  02:21:12 pm)작업중 정지 [d:112][t:02:39:34]
[I](2022-04-02  02:21:12 pm)    [LNo:0001] 000609/000818
[I](2022-04-02  02:21:12 pm)작업 재시작
[I](2022-04-02  02:21:14 pm)작업중 정지 [d:112][t:02:39:36]
[I](2022-04-02  02:21:14 pm)    [LNo:0001] 000609/000818
[I](2022-04-02  02:21:17 pm)작업 재시작
[I](2022-04-02  02:21:19 pm)작업중 정지 [d:112][t:02:39:41]
[I](2022-04-02  02:21:19 pm)    [LNo:0001] 000609/000818
[I](2022-04-02  02:22:29 pm)작업 재시작
[I](2022-04-02  02:22:39 pm)작업중 정지 [d:112][t:02:41:02]
[I](2022-04-02  02:22:39 pm)    [LNo:0001] 000611/000818
[I](2022-04-02  02:22:39 pm)작업중 M코드정지 [d:112][t:02:41:02]
[I](2022-04-02  02:47:06 pm)작업중 정지 [d:135][t:03:05:28]
[I](2022-04-02  02:47:06 pm)    [LNo:0001] 000742/000818
[I](2022-04-02  02:47:06 pm)작업중 M코드정지 [d:135][t:03:05:28]
[I](2022-04-02  02:47:30 pm)작업중 정지 [d:135][t:03:05:52]
[I](2022-04-02  02:47:30 pm)    [LNo:0001] 000745/000818
[I](2022-04-02  02:47:30 pm)작업중 M코드정지 [d:135][t:03:05:52]
[I](2022-04-02  02:58:13 pm)작업중 정지 [d:143][t:03:16:35]
[I](2022-04-02  02:58:13 pm)    [LNo:0001] 000814/000818
[I](2022-04-02  02:58:13 pm)작업중 M코드정지 [d:143][t:03:16:35]
[A](2022-04-02  04:01:28 pm)[053] Emergency Stop
[A](2022-04-02  04:01:28 pm)[005] READY Off(Alarm)
[I](2022-04-02  04:01:28 pm)    X:    269.6989
[I](2022-04-02  04:01:28 pm)    Y:   -184.3766
[I](2022-04-02  04:01:28 pm)    U:      0.0000
[I](2022-04-02  04:01:28 pm)    V:      0.0000
[I](2022-04-02  04:01:28 pm)    Z:    141.6721
