[I](2022-09-22  06:06:43 am)작업 재시작
[I](2022-09-22  08:32:06 am)작업중 정지 [d:213][t:12:30:27]
[I](2022-09-22  08:32:06 am)    [LNo:0007] 000289/000867
[A](2022-09-22  08:32:06 am)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:32:06 am)작업중 Wire 단선 [d:213][t:12:30:27]
[I](2022-09-22  08:32:29 am)작업 재시작
[I](2022-09-22  10:27:01 am)작업중 정지 [d:324][t:14:25:22]
[I](2022-09-22  10:27:01 am)    [LNo:0007] 000434/000867
[I](2022-09-22  10:27:08 am)작업 재시작
[I](2022-09-22  12:25:47 pm)작업중 정지 [d:437][t:16:24:08]
[I](2022-09-22  12:25:47 pm)    [LNo:0007] 000585/000867
[I](2022-09-22  12:26:07 pm)Reset
[I](2022-09-22  12:26:08 pm)Reset
[I](2022-09-22  12:26:33 pm)작업 시작 [Start d:539]
[I](2022-09-22  12:26:33 pm)Nc File: [No.0004-518.NC]
[I](2022-09-22  12:26:33 pm)  * Start Machine Position
[I](2022-09-22  12:26:33 pm)    X:    399.3777
[I](2022-09-22  12:26:33 pm)    Y:   -393.4395
[I](2022-09-22  12:26:33 pm)    U:      0.0000
[I](2022-09-22  12:26:33 pm)    V:      0.0000
[I](2022-09-22  12:26:33 pm)    Z:     17.4776
[I](2022-09-22  12:26:33 pm)  * Angle
[I](2022-09-22  12:26:33 pm)    Ar:      0.3868,Kr:      0.0000
[I](2022-09-22  12:26:33 pm)    Taper_Ar:      0.0000
[I](2022-09-22  12:26:49 pm)작업중 정지 [d:0][t:00:00:16]
[I](2022-09-22  12:26:49 pm)    [LNo:0004] 000102/001898
[I](2022-09-22  12:33:34 pm)작업중 정지 [d:7][t:00:07:00]
[I](2022-09-22  12:33:34 pm)    [LNo:0004] 000119/001898
[I](2022-09-22  12:33:34 pm)작업중 M코드정지 [d:7][t:00:07:00]
[I](2022-09-22  12:45:58 pm)작업중 정지 [d:7][t:00:19:24]
[I](2022-09-22  12:45:58 pm)    [LNo:0004] 000122/001898
[I](2022-09-22  12:45:58 pm)작업중 M코드정지 [d:7][t:00:19:24]
